phone_encoded,number_of_messages,has_response,id of conversation,date_of_communication,location_encoded
177,6,TRUE,1105642,2024-01-04 16:26:49,65751190
241,14,TRUE,1116444,2024-01-11 13:42:21,67f6beac
177,10,TRUE,1116617,2024-01-11 16:43:18,67f6beac
426,8,TRUE,1117247,2024-01-12 11:16:16,67f6beac
177,3,FALSE,1144892,2024-01-22 11:04:02,67f6beac
179,8,TRUE,1148362,2024-01-23 11:32:51,67f6beac
454,5,TRUE,1149956,2024-01-23 16:28:35,9ae67770
934,5,TRUE,1150042,2024-01-23 17:28:57,c25dda79
645,3,TRUE,1150044,2024-01-23 17:29:10,c25dda79
423,1,FALSE,1150045,2024-01-23 17:29:20,c25dda79
214,1,FALSE,1150046,2024-01-23 17:29:27,c25dda79
1353,3,TRUE,1150047,2024-01-23 17:29:33,c25dda79
1428,2,TRUE,1150048,2024-01-23 17:29:55,c25dda79
1209,1,FALSE,1150049,2024-01-23 17:30:26,c25dda79
422,1,FALSE,1150050,2024-01-23 17:30:35,c25dda79
654,2,TRUE,1150051,2024-01-23 17:30:44,c25dda79
1282,3,TRUE,1150052,2024-01-23 17:30:53,c25dda79
127,2,TRUE,1150054,2024-01-23 17:31:00,c25dda79
1169,1,FALSE,1150055,2024-01-23 17:31:08,c25dda79
1479,3,TRUE,1150056,2024-01-23 17:31:16,c25dda79
139,6,TRUE,1150057,2024-01-23 17:32:04,c25dda79
733,1,FALSE,1150060,2024-01-23 17:32:20,c25dda79
57,1,FALSE,1150061,2024-01-23 17:32:27,c25dda79
1225,1,FALSE,1150062,2024-01-23 17:32:35,c25dda79
270,1,FALSE,1151809,2024-01-24 09:35:49,330b5828
1074,1,FALSE,1151841,2024-01-24 09:40:36,330b5828
1074,1,FALSE,1154170,2024-01-25 11:25:54,67f6beac
614,4,TRUE,1154242,2024-01-25 11:55:10,67f6beac
270,3,TRUE,1154408,2024-01-25 13:04:49,330b5828
180,3,TRUE,1154441,2024-01-25 13:17:08,330b5828
371,4,TRUE,1155285,2024-01-26 11:22:45,33ad869b
550,1,FALSE,1158594,2024-01-27 12:28:14,9ae67770
996,1,FALSE,1158595,2024-01-27 12:28:42,9ae67770
928,1,FALSE,1158597,2024-01-27 12:29:00,9ae67770
1177,3,TRUE,1158598,2024-01-27 12:29:08,9ae67770
637,3,TRUE,1158600,2024-01-27 12:29:21,9ae67770
267,1,FALSE,1158601,2024-01-27 12:29:40,9ae67770
59,1,FALSE,1158604,2024-01-27 12:30:09,9ae67770
1438,1,FALSE,1158605,2024-01-27 12:30:25,9ae67770
539,1,FALSE,1158606,2024-01-27 12:30:33,9ae67770
809,1,FALSE,1158607,2024-01-27 12:30:41,9ae67770
1241,2,TRUE,1158609,2024-01-27 12:30:50,9ae67770
1226,2,TRUE,1158612,2024-01-27 12:31:00,9ae67770
509,1,FALSE,1158798,2024-01-27 15:09:58,9ae67770
